,DTime,ElapsedTime,T1,T1_time,HeaterValues
0,1606086498.3805509,1.1243577003479004,22.2,0.0,0.0
1,1606086499.6895785,2.4333853721618652,22.84,1.0,0.0
2,1606086501.0088897,3.7526965141296387,22.84,2.0,0.0
3,1606086502.3275683,5.071375131607056,22.84,3.0,0.0
4,1606086503.6578522,6.40165901184082,22.84,4.0,0.0
5,1606086504.976936,7.72074294090271,22.84,5.0,0.0
6,1606086506.2963493,9.040156126022339,22.84,6.0,0.0
7,1606086507.6156385,10.359445333480835,22.84,7.0,0.0
8,1606086508.9344668,11.678273677825928,22.84,8.0,0.0
9,1606086510.2635417,13.007348537445068,22.84,9.0,0.0
10,1606086511.583898,14.327704906463623,22.84,10.0,0.0
11,1606086512.8927681,15.636574983596802,22.84,11.0,0.0
12,1606086514.2018254,16.945632219314575,22.84,12.0,0.0
13,1606086515.5201392,18.263946056365967,22.84,13.0,0.0
14,1606086516.8402371,19.584043979644775,22.84,14.0,0.0
15,1606086518.158872,20.902678728103638,22.84,15.0,0.0
16,1606086519.4778457,22.221652507781982,22.84,16.0,0.0
17,1606086520.7976513,23.541458129882812,22.84,17.0,0.0
18,1606086522.1067493,24.850556135177612,22.84,18.0,0.0
19,1606086523.4263525,26.170159339904785,22.84,19.0,0.0
20,1606086524.7454312,27.489238023757935,22.84,20.0,0.0
21,1606086526.0648034,28.808610200881958,22.84,21.0,0.0
22,1606086527.384213,30.1280198097229,22.84,22.0,0.0
23,1606086528.7036061,31.447412967681885,22.84,23.0,0.0
24,1606086530.0229242,32.76673102378845,22.2,24.0,0.0
25,1606086531.3419368,34.08574366569519,22.84,25.0,0.0
26,1606086532.6509523,35.39475917816162,22.84,26.0,0.0
27,1606086533.97052,36.71432685852051,22.84,27.0,0.0
28,1606086535.2897956,38.033602476119995,22.84,28.0,0.0
29,1606086536.6085846,39.352391481399536,22.84,29.0,0.0
30,1606086537.9583726,40.70217943191528,22.84,30.0,50.0
31,1606086539.2959042,42.039710998535156,22.84,31.0,50.0
32,1606086540.645837,43.389643907547,22.84,32.0,50.0
33,1606086541.9945989,44.73840570449829,22.84,33.0,50.0
34,1606086543.3324933,46.07630014419556,22.84,34.0,50.0
35,1606086544.6827118,47.42651867866516,22.84,35.0,50.0
36,1606086546.0211859,48.76499271392822,22.84,36.0,50.0
37,1606086547.3592355,50.10304236412048,23.16,37.0,50.0
38,1606086548.7084055,51.4522123336792,23.16,38.0,50.0
39,1606086550.057009,52.80081582069397,23.16,39.0,50.0
40,1606086551.416201,54.1600079536438,23.16,40.0,50.0
41,1606086552.7544417,55.49824857711792,23.16,41.0,50.0
42,1606086554.0932922,56.83709907531738,23.48,42.0,50.0
43,1606086555.4318712,58.17567801475525,23.48,43.0,50.0
44,1606086556.7808914,59.52469825744629,23.81,44.0,50.0
45,1606086558.1191995,60.863006353378296,23.81,45.0,50.0
46,1606086559.457016,62.200822830200195,23.81,46.0,50.0
47,1606086560.8066356,63.5504424571991,24.13,47.0,50.0
48,1606086562.1653175,64.90912437438965,24.13,48.0,50.0
49,1606086563.5148406,66.25864744186401,24.45,49.0,50.0
50,1606086564.8528774,67.596684217453,24.45,50.0,50.0
51,1606086566.1917272,68.93553400039673,24.77,51.0,50.0
52,1606086567.5405998,70.2844066619873,24.77,52.0,50.0
53,1606086568.8786333,71.62244009971619,25.1,53.0,50.0
54,1606086570.2279475,72.97175431251526,25.1,54.0,50.0
55,1606086571.5665355,74.31034231185913,25.42,55.0,50.0
56,1606086572.9154928,75.65929961204529,25.74,56.0,50.0
57,1606086574.2641642,77.0079710483551,25.74,57.0,50.0
58,1606086575.6127782,78.35658502578735,26.06,58.0,50.0
59,1606086576.95055,79.69435691833496,26.06,59.0,50.0
60,1606086578.3005202,81.04432702064514,26.39,60.0,50.0
61,1606086579.638534,82.38234090805054,26.39,61.0,50.0
62,1606086580.9877312,83.73153805732727,26.71,62.0,50.0
63,1606086582.3367462,85.08055305480957,27.03,63.0,50.0
64,1606086583.685032,86.4288387298584,27.03,64.0,50.0
65,1606086585.0339699,87.77777671813965,27.35,65.0,50.0
66,1606086586.3729303,89.11673712730408,27.67,66.0,50.0
67,1606086587.7218392,90.46564602851868,27.67,67.0,50.0
68,1606086589.070132,91.81393885612488,28.0,68.0,50.0
69,1606086590.4188097,93.16261649131775,28.0,69.0,50.0
70,1606086591.7579665,94.50177335739136,28.32,70.0,50.0
71,1606086593.1069381,95.85074496269226,28.32,71.0,50.0
72,1606086594.45593,97.19973683357239,28.64,72.0,50.0
73,1606086595.8047054,98.54851222038269,28.64,73.0,50.0
74,1606086597.1429574,99.88676428794861,28.96,74.0,50.0
75,1606086598.50146,101.24526691436768,29.29,75.0,50.0
76,1606086599.8511493,102.59495615959167,29.61,76.0,50.0
77,1606086601.1997244,103.94353127479553,29.61,77.0,50.0
78,1606086602.5483696,105.29217648506165,29.93,78.0,50.0
79,1606086603.8977294,106.64153623580933,29.93,79.0,50.0
80,1606086605.2359152,107.97972202301025,30.25,80.0,50.0
81,1606086606.584539,109.32834577560425,30.57,81.0,50.0
82,1606086607.9337733,110.67758011817932,30.57,82.0,50.0
83,1606086609.2825584,112.02636528015137,30.9,83.0,50.0
84,1606086610.631292,113.37509894371033,31.22,84.0,50.0
85,1606086611.9800942,114.72390103340149,31.22,85.0,50.0
86,1606086613.329237,116.07304382324219,31.54,86.0,50.0
87,1606086614.6781707,117.42197751998901,31.86,87.0,50.0
88,1606086616.0167186,118.7605254650116,31.86,88.0,50.0
89,1606086617.3551872,120.09899401664734,32.19,89.0,50.0
90,1606086618.703205,121.44701194763184,32.19,90.0,50.0
91,1606086620.0519333,122.79574012756348,32.51,91.0,50.0
92,1606086621.4008138,124.14462065696716,32.51,92.0,50.0
93,1606086622.749603,125.49340987205505,32.83,93.0,50.0
94,1606086624.0881798,126.83198666572571,32.83,94.0,50.0
95,1606086625.4370358,128.18084263801575,33.15,95.0,50.0
96,1606086626.7861333,129.52994012832642,33.48,96.0,50.0
97,1606086628.1350443,130.87885117530823,33.48,97.0,50.0
98,1606086629.4738178,132.21762466430664,33.8,98.0,50.0
99,1606086630.822753,133.56655979156494,33.8,99.0,50.0
100,1606086632.1716077,134.91541457176208,34.12,100.0,50.0
101,1606086633.520128,136.26393485069275,34.12,101.0,50.0
102,1606086634.8694856,137.61329245567322,34.44,102.0,50.0
103,1606086636.2184775,138.96228432655334,34.76,103.0,50.0
104,1606086637.5669029,140.31070971488953,34.76,104.0,50.0
105,1606086638.9164555,141.6602623462677,35.09,105.0,50.0
106,1606086640.2548227,142.99862957000732,35.09,106.0,50.0
107,1606086641.6039083,144.34771513938904,35.41,107.0,50.0
108,1606086642.9530048,145.6968116760254,35.41,108.0,50.0
109,1606086644.3019156,147.04572248458862,35.73,109.0,50.0
110,1606086645.6608713,148.40467810630798,35.73,110.0,50.0
111,1606086646.9999151,149.7437219619751,36.05,111.0,50.0
112,1606086648.3489263,151.09273314476013,36.05,112.0,50.0
113,1606086649.6979067,152.44171357154846,36.38,113.0,50.0
114,1606086651.046884,153.79069089889526,36.38,114.0,50.0
115,1606086652.3856885,155.12949538230896,36.7,115.0,50.0
116,1606086653.7447252,156.48853206634521,37.02,116.0,50.0
117,1606086655.0835524,157.82735919952393,37.02,117.0,50.0
118,1606086656.4325004,159.1763072013855,37.34,118.0,50.0
119,1606086657.7913153,160.5351221561432,37.34,119.0,50.0
120,1606086659.1510074,161.8948142528534,37.34,120.0,50.0
121,1606086660.49991,163.24371695518494,37.67,121.0,50.0
122,1606086661.8488894,164.59269618988037,37.67,122.0,50.0
123,1606086663.2082505,165.95205736160278,37.99,123.0,50.0
124,1606086664.5677125,167.31151938438416,37.99,124.0,50.0
125,1606086665.9166446,168.66045141220093,38.31,125.0,50.0
126,1606086667.2758012,170.01960802078247,38.31,126.0,50.0
127,1606086668.6242826,171.36808943748474,38.63,127.0,50.0
128,1606086669.972557,172.71636390686035,38.63,128.0,50.0
129,1606086671.3222232,174.06603002548218,38.95,129.0,50.0
130,1606086672.6820505,175.42585730552673,38.95,130.0,50.0
131,1606086674.019686,176.7634928226471,39.28,131.0,50.0
132,1606086675.3698308,178.11363768577576,39.28,132.0,50.0
133,1606086676.7287662,179.4725730419159,39.28,133.0,50.0
134,1606086678.0779796,180.821786403656,39.6,134.0,50.0
135,1606086679.4165618,182.16036868095398,39.92,135.0,50.0
136,1606086680.7657356,183.50954246520996,39.92,136.0,50.0
137,1606086682.114708,184.8585147857666,39.92,137.0,50.0
138,1606086683.4738042,186.21761107444763,40.24,138.0,50.0
139,1606086684.8331735,187.57698035240173,40.24,139.0,50.0
140,1606086686.1713915,188.91519832611084,40.57,140.0,50.0
141,1606086687.5195723,190.26337909698486,40.57,141.0,50.0
142,1606086688.8595376,191.6033444404602,40.57,142.0,50.0
143,1606086690.2075975,192.95140433311462,40.89,143.0,50.0
144,1606086691.557001,194.30080795288086,40.89,144.0,50.0
145,1606086692.9063427,195.65014958381653,41.21,145.0,50.0
146,1606086694.2446446,196.98845148086548,41.21,146.0,50.0
147,1606086695.5938303,198.33763718605042,41.53,147.0,50.0
148,1606086696.9429038,199.6867105960846,41.53,148.0,50.0
149,1606086698.291875,201.03568172454834,41.86,149.0,50.0
150,1606086699.6408362,202.38464307785034,41.86,150.0,50.0
151,1606086700.9898148,203.73362159729004,41.86,151.0,50.0
152,1606086702.3279238,205.0717306137085,42.18,152.0,50.0
153,1606086703.677617,206.42142391204834,42.18,153.0,50.0
154,1606086705.0264773,207.7702841758728,41.86,154.0,50.0
155,1606086706.3647585,209.10856533050537,42.5,155.0,50.0
156,1606086707.7138906,210.45769739151,42.82,156.0,50.0
157,1606086709.0731158,211.81692266464233,42.82,157.0,50.0
158,1606086710.4221566,213.16596341133118,42.82,158.0,50.0
159,1606086711.7711887,214.51499557495117,42.82,159.0,50.0
160,1606086713.1199927,215.86379957199097,43.14,160.0,50.0
161,1606086714.46928,217.2130868434906,43.14,161.0,50.0
162,1606086715.8179371,218.56174397468567,43.14,162.0,50.0
163,1606086717.1663508,219.91015768051147,43.47,163.0,50.0
164,1606086718.5053046,221.2491114139557,43.47,164.0,50.0
165,1606086719.8549001,222.5987069606781,43.79,165.0,50.0
166,1606086721.203899,223.94770574569702,43.79,166.0,50.0
167,1606086722.5528936,225.2967004776001,43.79,167.0,50.0
168,1606086723.901817,226.64562392234802,44.11,168.0,50.0
169,1606086725.2507293,227.99453616142273,44.11,169.0,50.0
170,1606086726.6099124,229.35371923446655,44.43,170.0,50.0
171,1606086727.959032,230.70283889770508,44.11,171.0,50.0
172,1606086729.2973347,232.04114151000977,44.43,172.0,50.0
173,1606086730.657063,233.400869846344,44.43,173.0,50.0
174,1606086732.0060563,234.7498631477356,44.76,174.0,50.0
175,1606086733.3550282,236.09883499145508,44.76,175.0,50.0
176,1606086734.703973,237.44777989387512,44.76,176.0,50.0
177,1606086736.0629985,238.80680537223816,44.76,177.0,50.0
178,1606086737.4119518,240.15575861930847,45.08,178.0,50.0
179,1606086738.7609222,241.50472903251648,45.08,179.0,50.0
180,1606086740.110102,242.85390877723694,45.08,180.0,50.0
181,1606086741.4487975,244.19260430335999,45.08,181.0,50.0
182,1606086742.7976258,245.54143261909485,45.4,182.0,50.0
183,1606086744.1365998,246.8804066181183,45.4,183.0,50.0
184,1606086745.4953372,248.23914408683777,45.72,184.0,50.0
185,1606086746.8550208,249.59882760047913,45.72,185.0,50.0
186,1606086748.2036834,250.9474902153015,45.72,186.0,50.0
187,1606086749.5521488,252.29595565795898,45.72,187.0,50.0
188,1606086750.9018946,253.64570140838623,45.72,188.0,50.0
189,1606086752.2509003,254.99470710754395,46.05,189.0,50.0
190,1606086753.599778,256.3435847759247,46.05,190.0,50.0
191,1606086754.94887,257.69267678260803,46.05,191.0,50.0
192,1606086756.2876196,259.03142642974854,46.37,192.0,50.0
193,1606086757.6260324,260.36983919143677,46.37,193.0,50.0
194,1606086758.9748518,261.7186586856842,46.37,194.0,50.0
195,1606086760.3137577,263.057564496994,46.37,195.0,50.0
196,1606086761.6626382,264.4064450263977,46.69,196.0,50.0
197,1606086763.000893,265.7446999549866,46.69,197.0,50.0
198,1606086764.3400128,267.08381962776184,46.69,198.0,50.0
199,1606086765.6888702,268.43267703056335,46.69,199.0,50.0
200,1606086767.0378833,269.781690120697,47.01,200.0,50.0
201,1606086768.3868885,271.1306953430176,47.01,201.0,50.0
202,1606086769.7358308,272.47963762283325,47.01,202.0,50.0
203,1606086771.0842898,273.8280966281891,47.01,203.0,50.0
204,1606086772.4331071,275.1769139766693,47.01,204.0,50.0
205,1606086773.7821004,276.5259072780609,47.33,205.0,50.0
206,1606086775.1204817,277.8642885684967,47.33,206.0,50.0
207,1606086776.470208,279.21401476860046,47.33,207.0,50.0
208,1606086777.8088229,280.5526297092438,47.33,208.0,50.0
209,1606086779.1477578,281.89156460762024,47.66,209.0,50.0
210,1606086780.4966936,283.2405004501343,47.01,210.0,50.0
211,1606086781.8352058,284.57901263237,47.66,211.0,50.0
212,1606086783.1737523,285.9175591468811,47.66,212.0,50.0
213,1606086784.511523,287.2553298473358,47.66,213.0,50.0
214,1606086785.861571,288.60537791252136,47.98,214.0,50.0
215,1606086787.200381,289.9441878795624,47.98,215.0,50.0
216,1606086788.5493755,291.2931823730469,47.98,216.0,50.0
217,1606086789.8873475,292.63115429878235,47.98,217.0,50.0
218,1606086791.2365913,293.9803981781006,47.98,218.0,50.0
219,1606086792.585824,295.3296308517456,47.98,219.0,50.0
220,1606086793.9349597,296.67876648902893,48.3,220.0,50.0
221,1606086795.2732694,298.017076253891,48.3,221.0,50.0
222,1606086796.6122668,299.3560736179352,48.3,222.0,50.0
223,1606086797.9502113,300.69401812553406,48.3,223.0,50.0
224,1606086799.2894168,302.0332236289978,48.3,224.0,50.0
225,1606086800.6384566,303.38226342201233,48.62,225.0,50.0
226,1606086801.9761324,304.71993923187256,48.62,226.0,50.0
227,1606086803.325884,306.0696909427643,48.62,227.0,50.0
228,1606086804.684892,307.42869877815247,48.62,228.0,50.0
229,1606086806.0344715,308.7782783508301,48.62,229.0,50.0
230,1606086807.3724544,310.1162612438202,48.95,230.0,50.0
231,1606086808.7215133,311.46532011032104,48.95,231.0,50.0
232,1606086810.060683,312.8044898509979,48.95,232.0,50.0
233,1606086811.3990707,314.14287757873535,48.95,233.0,50.0
234,1606086812.7483332,315.49214005470276,48.95,234.0,50.0
235,1606086814.0865417,316.8303484916687,48.95,235.0,50.0
236,1606086815.4356503,318.1794571876526,49.27,236.0,50.0
237,1606086816.7949898,319.5387966632843,49.27,237.0,50.0
238,1606086818.1336966,320.87750339508057,49.27,238.0,50.0
239,1606086819.4724727,322.21627950668335,49.27,239.0,50.0
240,1606086820.8110156,323.55482244491577,49.27,240.0,50.0
241,1606086822.149341,324.89314794540405,49.59,241.0,50.0
242,1606086823.4988315,326.2426383495331,49.27,242.0,50.0
243,1606086824.8580523,327.6018590927124,49.27,243.0,50.0
244,1606086826.2173347,328.9611415863037,49.59,244.0,50.0
245,1606086827.5662885,330.3100953102112,49.59,245.0,50.0
246,1606086828.914566,331.6583728790283,49.59,246.0,50.0
247,1606086830.2643917,333.00819849967957,49.27,247.0,50.0
248,1606086831.6019351,334.3457419872284,49.91,248.0,50.0
249,1606086832.9417353,335.6855421066284,49.91,249.0,50.0
250,1606086834.290684,337.0344908237457,49.91,250.0,50.0
251,1606086835.627187,338.37099385261536,49.91,251.0,50.0
252,1606086836.977923,339.7217297554016,50.24,252.0,50.0
253,1606086838.3175998,341.06140661239624,50.24,253.0,50.0
254,1606086839.6670275,342.41083431243896,50.24,254.0,50.0
255,1606086841.0168536,343.76066040992737,50.24,255.0,50.0
256,1606086842.366401,345.1102077960968,50.24,256.0,50.0
257,1606086843.7163715,346.46017837524414,50.24,257.0,50.0
258,1606086845.065904,347.8097107410431,50.24,258.0,50.0
259,1606086846.41573,349.1595368385315,50.56,259.0,50.0
260,1606086847.7650974,350.5089042186737,50.56,260.0,50.0
261,1606086849.1047432,351.84855008125305,50.56,261.0,50.0
262,1606086850.453791,353.1975977420807,50.56,262.0,50.0
263,1606086851.8025513,354.5463581085205,50.56,263.0,50.0
264,1606086853.1527524,355.89655923843384,50.88,264.0,50.0
265,1606086854.5016415,357.2454483509064,50.88,265.0,50.0
266,1606086855.8523629,358.5961697101593,50.88,266.0,50.0
267,1606086857.2018619,359.9456686973572,50.88,267.0,50.0
268,1606086858.5517669,361.29557371139526,50.88,268.0,50.0
269,1606086859.9013677,362.6451745033264,50.88,269.0,50.0
270,1606086861.2509475,363.9947543144226,50.88,270.0,50.0
271,1606086862.6008062,365.34461307525635,50.88,271.0,50.0
272,1606086863.9503095,366.69411635398865,51.2,272.0,50.0
273,1606086865.2890506,368.0328574180603,51.2,273.0,50.0
274,1606086866.6394596,369.3832664489746,51.2,274.0,50.0
275,1606086867.9890056,370.73281240463257,51.2,275.0,50.0
276,1606086869.327704,372.07151079177856,51.2,276.0,50.0
277,1606086870.6769135,373.4207203388214,51.2,277.0,50.0
278,1606086872.0168576,374.7606644630432,51.2,278.0,50.0
279,1606086873.366661,376.1104679107666,51.52,279.0,50.0
280,1606086874.7163699,377.4601767063141,51.52,280.0,50.0
281,1606086876.0652554,378.80906224250793,51.52,281.0,50.0
282,1606086877.4157174,380.1595242023468,51.52,282.0,50.0
283,1606086878.7653723,381.5091791152954,51.85,283.0,50.0
284,1606086880.1048098,382.8486166000366,51.85,284.0,50.0
285,1606086881.4544282,384.1982350349426,51.85,285.0,50.0
286,1606086882.7936115,385.5374183654785,51.85,286.0,50.0
287,1606086884.1435905,386.8873972892761,51.85,287.0,50.0
288,1606086885.4828596,388.2266664505005,51.85,288.0,50.0
289,1606086886.8326874,389.57649421691895,51.85,289.0,50.0
290,1606086888.1823776,390.92618441581726,51.85,290.0,50.0
291,1606086889.5319262,392.2757329940796,52.17,291.0,50.0
292,1606086890.8814566,393.6252634525299,51.85,292.0,50.0
293,1606086892.2306643,394.9744710922241,52.17,293.0,50.0
294,1606086893.5803225,396.32412934303284,52.17,294.0,50.0
295,1606086894.9298398,397.6736466884613,52.17,295.0,50.0
296,1606086896.279726,399.02353286743164,52.17,296.0,50.0
297,1606086897.6190028,400.36280965805054,52.17,297.0,50.0
298,1606086898.9687846,401.7125914096832,52.17,298.0,50.0
299,1606086900.3185425,403.062349319458,52.17,299.0,50.0
300,1606086901.668059,404.41186594963074,52.17,300.0,50.0
